METHOD,THRESHOLD,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_class_clas,FP_all_class_clas,FN_all_class_clas,TP_all_class_clas,Recall_all_class_clas,Precision_all_class_clas,F1-score_all_class_clas,Iou_all_class_clas,FPR_all_class_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_strong_class_clas,FP_strong_class_clas,FN_strong_class_clas,TP_strong_class_clas,Recall_strong_class_clas,Precision_strong_class_clas,F1-score_strong_class_clas,Iou_strong_class_clas,FPR_strong_class_clas,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg,TN_weak_class_clas,FP_weak_class_clas,FN_weak_class_clas,TP_weak_class_clas,Recall_weak_class_clas,Precision_weak_class_clas,F1-score_weak_class_clas,Iou_weak_class_clas,FPR_weak_class_clas
MAG1Cdata_selected_50_evenly_spaced,0,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,89977833,702229,31269,183197,0.8542006658398068,0.20690266606130833,0.3331181606921407,0.1998450956970421,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17136599,176850,22837,151074,0.8686857070570579,0.46069821056098365,0.6020863431207469,0.43070352747312274,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28512385,181972,8432,32123,0.7920848230797682,0.1500408697073729,0.2522913803259376,0.1443555164092447,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,100,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,89982954,697108,31400,183066,0.8535898464092211,0.20798842047140678,0.33447708835781625,0.20082406913755768,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17138033,175416,22946,150965,0.8680589496926588,0.4625422435742277,0.6035075515898715,0.4321595525109711,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28513647,180710,8454,32101,0.791542349895204,0.15084276658631368,0.2533962725859034,0.14507942964318804,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,200,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,90005348,674714,32034,182432,0.8506336668749359,0.21283655293263926,0.34048144291030713,0.20516880721563688,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17143859,169590,23466,150445,0.8650689145597461,0.4700892089927664,0.6091556566912173,0.4379754352971316,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28518470,175887,8568,31987,0.7887313524842806,0.15387686771794454,0.2575142193544232,0.1477855499394757,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,300,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,90071041,609021,35263,179203,0.8355776673225593,0.22735034710945112,0.35744447436396093,0.217614850021919,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17162615,150834,26231,147680,0.8491699777472386,0.4947171656940713,0.6251997671588082,0.4547568091887481,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28533288,161069,9032,31523,0.7772900998643817,0.1636776190080585,0.27041308702235073,0.15634547474507002,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,400,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,90160599,519463,41542,172924,0.8063002993481484,0.24975050080374125,0.3813716225231653,0.23561407166088272,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17189337,124112,31347,142564,0.8197526320934271,0.5345962891298804,0.6471548184581024,0.47836576371622325,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28555556,138801,10195,30360,0.7486129946985575,0.1794739922322521,0.2895344179747849,0.16927228528736146,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,500,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,90252509,427553,49920,164546,0.7672358322531311,0.2779028507057097,0.4080167128501733,0.2562945956428081,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17217093,96356,37959,135952,0.7817331853649281,0.585223065929714,0.6693532306465231,0.5030284866446884,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28579591,114766,11961,28594,0.7050671927012698,0.19945591517857142,0.3109479922790419,0.18409616214162927,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,600,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,90334255,345807,58989,155477,0.7249494092303675,0.3101575155001955,0.43444498777506113,0.27750221766888644,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17240822,72627,44821,129090,0.7422762217456055,0.6399559779294755,0.6873289531131864,0.5236109646383114,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28601776,92581,14168,26387,0.6506472691406732,0.22179913926434,0.33082376835942157,0.19819582982814565,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,700,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,90401384,278678,68295,146171,0.6815579159400558,0.34405400507003664,0.4572738008649883,0.2964063235079409,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17259889,53560,51731,122180,0.7025432548832449,0.6952315921247297,0.6988683001049618,0.5371234135340329,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28620099,74258,16564,23991,0.5915670077672297,0.24418569145741942,0.34568168064320914,0.2089571738391994,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,800,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,90455286,224776,78152,136314,0.635597250846288,0.3775069927164973,0.4736776265037634,0.3103391752154849,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17274496,38953,58882,115029,0.6614245217381304,0.7470288735046954,0.7016252253021564,0.5403872895369813,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28634795,59562,19270,21285,0.5248428060658366,0.26327507514193477,0.35065320175944387,0.21260125652986006,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1Cdata_selected_50_evenly_spaced,900,0.06126983246630762,1662.5302,0.1378324002874111,0.3551611965482443,1289.1285,0.4766233899450916,0.03169387101751785,1376.5288,0.08008472382472764,90498063,181999,87829,126637,0.5904758796266075,0.4103118236369056,0.4841770820987112,0.3194153330054355,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17285309,28140,66211,107700,0.6192822765667496,0.7928445229681979,0.6953972707109904,0.5330337390064884,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28646310,48047,21618,18937,0.466946122549624,0.28270930371431985,0.35218850835510834,0.21373106701880318,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
