METHOD,THRESHOLD,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_class_clas,FP_all_class_clas,FN_all_class_clas,TP_all_class_clas,Recall_all_class_clas,Precision_all_class_clas,F1-score_all_class_clas,Iou_all_class_clas,FPR_all_class_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_strong_class_clas,FP_strong_class_clas,FN_strong_class_clas,TP_strong_class_clas,Recall_strong_class_clas,Precision_strong_class_clas,F1-score_strong_class_clas,Iou_strong_class_clas,FPR_strong_class_clas,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg,TN_weak_class_clas,FP_weak_class_clas,FN_weak_class_clas,TP_weak_class_clas,Recall_weak_class_clas,Precision_weak_class_clas,F1-score_weak_class_clas,Iou_weak_class_clas,FPR_weak_class_clas
MAG1C_SAS_TILINGdata_selected_50_highest_transmittance,1200,0.033639214846671525,1591.2529,0.08681842185292245,0.22745427072298896,1295.7588,0.38279375771673846,0.016041404369335373,1238.5315,0.04484117796411425,90422219,257843,122162,92304,0.430389898631951,0.26361499598739957,0.32696377872985566,0.1954313807274475,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17285145,28304,92614,81297,0.46746324269310163,0.7417541810749901,0.5734995344112418,0.4020324901713523,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28625756,68601,29548,11007,0.27140919738626557,0.1382649984926138,0.18320115176884733,0.10083733372421122,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SASdata_selected_50_highest_transmittance,1200,0.05241345929733515,2011.3127,0.13368313109419064,0.3325980662313024,1597.1185,0.47122324425717255,0.02076925105858666,1517.5973,0.05776268731858279,90409978,270084,105911,108555,0.5061641472307965,0.2866978837362237,0.3660566004333128,0.22403260757403776,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17263006,50443,77156,96755,0.5563477870864982,0.657311919998913,0.6026302595068963,0.4312604188024283,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28632788,61569,28755,11800,0.2909628899026014,0.1608308686229879,0.20715564762473226,0.11554580705808624,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_evenly_spaced,1200,0.033414749052260335,1608.5431,0.0826793318493003,0.22243292963167915,1294.4633,0.36472728244170244,0.015282351800588562,1207.4557,0.04125466207068266,90379561,300501,121308,93158,0.4343718817901206,0.23664643765289248,0.30637780061664954,0.18090091209728001,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17280855,32594,91434,82477,0.4742483224177884,0.7167487898775539,0.5708106387249033,0.3993946877799569,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28613488,80869,29874,10681,0.2633707311059056,0.11666848716548334,0.161704704591045,0.08796448807484517,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SASdata_selected_50_evenly_spaced,1200,0.024962611895996037,1390.7926,0.06555857626834583,0.31768461795125064,1600.6254,0.4563113485055013,0.01985974477141995,1477.2057,0.053640570792959176,89188100,1491962,107073,107393,0.5007460389991887,0.06714769391410913,0.11841631561218005,0.06293438691817059,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17269023,44426,77965,95946,0.5516959824277935,0.6835123813866013,0.6105707276562844,0.4394399483367455,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28634398,59959,29108,11447,0.282258661077549,0.1603086575357813,0.20448191781066619,0.11388463298644964,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_starcop_filtering,1200,0.038710573602694524,1952.7544,0.0910829783088666,0.2895613297157876,1454.5073,0.4007867547824627,0.0172286321021858,1393.6736,0.04528809504733255,90327575,352487,116848,97618,0.4551677188925051,0.21687828395596584,0.2937774895383639,0.1721800572534231,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17278720,34729,88387,85524,0.4917687782831448,0.7112005521691767,0.581471560082131,0.40991180981595093,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28608139,86218,28461,12094,0.29821230427814077,0.12301651883798519,0.17418105093362712,0.0953988625338203,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SASdata_selected_50_starcop_filtering,1200,0.022100954355101888,1400.8965,0.05982663161544622,0.09469724058302681,1238.4604,0.22281735176040376,0.028158739856534082,1932.3812,0.06992367959996039,88573462,2106600,102430,112036,0.5223951582068953,0.05049769317724945,0.09209313871757124,0.04826920044496796,1,25,0,26,1.0,0.5098039215686274,0.6753246753246753,0.5098039215686274,0.9615384615384616,16809396,504053,76773,97138,0.5585500629632398,0.16157593842888532,0.25064572146633607,0.1432789941648819,1,25,0,11,1.0,0.3055555555555556,0.46808510638297873,0.3055555555555556,0.9615384615384616,28620519,73838,25657,14898,0.3673529774380471,0.167891272989542,0.23045687634870177,0.13023524166688522,1,25,0,15,1.0,0.375,0.5454545454545454,0.375,0.9615384615384616
