METHOD,THRESHOLD,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_class_clas,FP_all_class_clas,FN_all_class_clas,TP_all_class_clas,Recall_all_class_clas,Precision_all_class_clas,F1-score_all_class_clas,Iou_all_class_clas,FPR_all_class_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_strong_class_clas,FP_strong_class_clas,FN_strong_class_clas,TP_strong_class_clas,Recall_strong_class_clas,Precision_strong_class_clas,F1-score_strong_class_clas,Iou_strong_class_clas,FPR_strong_class_clas,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg,TN_weak_class_clas,FP_weak_class_clas,FN_weak_class_clas,TP_weak_class_clas,Recall_weak_class_clas,Precision_weak_class_clas,F1-score_weak_class_clas,Iou_weak_class_clas,FPR_weak_class_clas
INFERENCEdata_selected_50_highest_transmittance,0.5,0.40236653741179,0.36893195,0.4716721258331309,0.49636453388028934,0.2229163,0.5348345333460981,0.2106584252755475,0.34073493,0.3396888731254421,87838958,118636,117434,97032,0.45243535105797655,0.44991375632917263,0.45117103042307743,0.29129816092368105,9,17,1,25,0.9615384615384616,0.5952380952380952,0.7352941176470588,0.5813953488372093,0.6538461538461539,17013678,101051,84685,89226,0.5130555284024587,0.4689268802850581,0.48999967049985166,0.32450302223579985,9,17,0,11,1.0,0.39285714285714285,0.5641025641025641,0.39285714285714285,0.6538461538461539,28683380,10977,32749,7806,0.19247934903217853,0.41558856412713624,0.2631029020189424,0.151478692851044,9,17,1,14,0.9333333333333333,0.45161290322580644,0.608695652173913,0.4375,0.6538461538461539
INFERENCE_TILINGdata_selected_50_highest_transmittance,0.5,0.4169683732186483,0.3345907,0.3944259176475407,0.646983453496248,0.14606434,0.5979679122523793,0.21504264076372737,0.2669975,0.2775878534149381,87871121,86473,141689,72777,0.33934050152471723,0.45699843014128727,0.3894775712038018,0.24183306251433015,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,17099669,15060,111824,62087,0.35700444480222643,0.8047882613711486,0.4946028407778282,0.32855305840578714,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28664284,30073,29865,10690,0.26359265195413634,0.2622476265240537,0.2629184190462136,0.15135640255989127,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
INFERENCE_TILING_INFERENCE_ONLYdata_selected_50_highest_transmittance,0.5,0.42041427706656054,0.39915508,0.43472114815270785,0.5244078086073545,0.20233442,0.5292167114264776,0.21899873235823133,0.3087597,0.3147633693373077,87808000,149594,113643,100823,0.4701118125950034,0.4026204291242208,0.43375645054777223,0.2769406141844751,5,21,0,26,1.0,0.5531914893617021,0.7123287671232876,0.5531914893617021,0.8076923076923077,17012749,101980,84015,89896,0.5169080736698656,0.46851091329817174,0.49152102179683804,0.3258388276529499,5,21,0,11,1.0,0.34375,0.5116279069767442,0.34375,0.8076923076923077,28668532,25825,29628,10927,0.26943656762421403,0.29731715280801047,0.2826910887759194,0.1646128351913227,5,21,0,15,1.0,0.4166666666666667,0.5882352941176471,0.4166666666666667,0.8076923076923077
INFERENCEdata_selected_50_evenly_spaced,0.5,0.2734150048129585,0.49359712,0.29333387289658186,0.4987750755301482,0.23842405,0.5166558003298523,0.19475305128330508,0.35137033,0.3235865095421045,87628547,329047,121098,93368,0.4353510579765557,0.22103381745439912,0.29320391093469583,0.17178613942996765,6,20,1,25,0.9615384615384616,0.5555555555555556,0.7042253521126761,0.5434782608695652,0.7692307692307693,17021203,93526,88681,85230,0.49007825841953645,0.47679518449730357,0.4833454788795096,0.3186918788350154,6,20,0,11,1.0,0.3548387096774194,0.5238095238095238,0.3548387096774194,0.7692307692307693,28680255,14102,32417,8138,0.2006657625446924,0.36591726618705034,0.2591926108766622,0.14889218215416142,6,20,1,14,0.9333333333333333,0.4117647058823529,0.5714285714285713,0.4,0.7692307692307693
INFERENCE_TILINGdata_selected_50_evenly_spaced,0.5,0.40896707879344185,0.33707654,0.40624176000341317,0.6747376540837365,0.16313505,0.62617987212809,0.18095322573718764,0.32165438,0.2984013105870896,87866644,90950,139251,75215,0.3507082707748548,0.4526524839767701,0.3952121608592049,0.24627066034523404,2,24,0,26,1.0,0.52,0.6842105263157895,0.52,0.9230769230769231,17100230,14499,109604,64307,0.3697695947927388,0.8160165469634292,0.5089250030666714,0.34131415529961256,2,24,0,11,1.0,0.3142857142857143,0.4782608695652174,0.3142857142857143,0.9230769230769231,28660336,34021,29647,10908,0.2689680680557268,0.24278305771328096,0.2552056525197698,0.1462668955159837,2,24,0,15,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.9230769230769231
INFERENCE_TILING_INFERENCE_ONLYdata_selected_50_evenly_spaced,0.5,0.4189013673525018,0.570345,0.42837632462621833,0.544778695472339,0.25032687,0.5266312447612034,0.16401899150171934,0.3358994,0.26204571680314387,87795971,161623,112111,102355,0.477255136012235,0.3877406450537545,0.4278661661552867,0.2721563246997386,1,25,0,26,1.0,0.5098039215686274,0.6753246753246753,0.5098039215686274,0.9615384615384616,17017211,97518,82203,91708,0.5273271960945541,0.4846479870630886,0.5050876115625783,0.3378710454667703,1,25,0,11,1.0,0.3055555555555556,0.46808510638297873,0.3055555555555556,0.9615384615384616,28661289,33068,29908,10647,0.2625323634570337,0.24355484387510007,0.25268778924884305,0.144615133857626,1,25,0,15,1.0,0.375,0.5454545454545454,0.375,0.9615384615384616
INFERENCEdata_selected_50_starcop_filtering,0.5,0.32939964622043777,0.42698425,0.37936299136395824,0.4668951595145554,0.24306762,0.4990728120201552,0.29057683106170396,0.37740806,0.4101032867715113,87765613,191981,120078,94388,0.44010705659638355,0.32960271537771196,0.37692253935927,0.23222708003749568,4,22,1,25,0.9615384615384616,0.5319148936170213,0.684931506849315,0.5208333333333334,0.8461538461538461,17018120,96609,92385,81526,0.46878000816509596,0.4576641311364976,0.4631553831033445,0.30136773621174034,4,22,0,11,1.0,0.3333333333333333,0.5,0.3333333333333333,0.8461538461538461,28681057,13300,27693,12862,0.31714954999383554,0.4916290803455393,0.3855688954839096,0.2388264785071024,4,22,1,14,0.9333333333333333,0.3888888888888889,0.5490196078431373,0.3783783783783784,0.8461538461538461
INFERENCE_TILINGdata_selected_50_starcop_filtering,0.5,0.4208843288229893,0.43284613,0.41573124360835423,0.6443936172591072,0.12676206,0.5993831778221144,0.2111006135298311,0.3754281,0.29315263262195185,87876284,81310,137638,76828,0.3582292764354257,0.48582883304455604,0.41238419340640464,0.25975062209239425,1,25,0,26,1.0,0.5098039215686274,0.6753246753246753,0.5098039215686274,0.9615384615384616,17098421,16308,108741,65170,0.37473190309986143,0.7998478116792263,0.5103587076968858,0.3426051025397042,1,25,0,11,1.0,0.3055555555555556,0.46808510638297873,0.3055555555555556,0.9615384615384616,28663863,30494,28897,11658,0.2874614720749599,0.27657050673752137,0.28191084188762744,0.16408394206815016,1,25,0,15,1.0,0.375,0.5454545454545454,0.375,0.9615384615384616
INFERENCE_TILING_INFERENCE_ONLYdata_selected_50_starcop_filtering,0.5,0.42393890925938943,0.46136853,0.43642851187143106,0.5366944990674577,0.21406023,0.5411526157034822,0.28641491873589536,0.39997125,0.37034667665443916,87805388,152206,112343,102123,0.47617337946341143,0.40153895151555663,0.4356829744344543,0.2785132216258673,4,22,0,26,1.0,0.5416666666666666,0.7027027027027027,0.5416666666666666,0.8461538461538461,17025556,89173,87087,86824,0.49924386611542687,0.49332659079416125,0.4962675903380317,0.33002387070289335,4,22,0,11,1.0,0.3333333333333333,0.5,0.3333333333333333,0.8461538461538461,28665960,28397,25256,15299,0.3772407841203304,0.35012358110582203,0.3631766981994278,0.22187898828170322,4,22,0,15,1.0,0.40540540540540543,0.5769230769230769,0.40540540540540543,0.8461538461538461
