METHOD,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,AUPRC_strong,AUPRC_weak,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg
Mag1c (tile-wise),35.0,SELECT-EVENLY-SPACED,0.071,0.285,0.058,0.38,0.134,0.198,0.353,0.564,0.435
Mag1c-SAS,35.0,SELECT-EVENLY-SPACED,0.064,0.265,0.056,0.465,0.112,0.181,0.436,0.498,0.465
MF,35.0,SELECT-EVENLY-SPACED,0.0654936284257527,0.211875510539041,0.0720454205902559,0.4976602996707088,0.0542273888973457,0.09779822658858,0.4603081775470644,0.2975175723598989,0.3614281291920338
ACE,35.0,SELECT-HIGHEST-TRANSMITTANCE,0.063309440149703,0.1497829475254789,0.0788359219512162,0.3618053768466827,0.0206118726133554,0.039001830324969,0.3333114301672307,0.1837303139624172,0.2368838276877383
CEM,35.0,SELECT-HIGHEST-TRANSMITTANCE,0.058,0.194,0.053,0.421,0.058,0.102,0.398,0.316,0.352
Mag1c (tile-wise),35.0,SELECT-HIGHEST-TRANSMITTANCE,0.05,0.23,0.04,0.282,0.149,0.195,0.263,0.588,0.363
Mag1c-SAS,35.0,SELECT-HIGHEST-TRANSMITTANCE,0.051,0.222,0.04,0.344,0.142,0.201,0.324,0.559,0.411
MF,35.0,SELECT-HIGHEST-TRANSMITTANCE,0.0513508091405116,0.1756562535918928,0.0529048298320076,0.4303998235377529,0.0552757921546038,0.0979694694177145,0.4021355586950094,0.3030733726872945,0.3456467285866376
ACE,35.0,SELECT-HIGHEST-VARIANCE,0.0865448535880595,0.1820080880652481,0.1304379107499651,0.4187091996701836,0.0241605067869792,0.0456848879609724,0.3728619771988041,0.2102914744195526,0.2689161651106582
CEM,35.0,SELECT-HIGHEST-VARIANCE,0.066,0.201,0.078,0.425,0.079,0.134,0.387,0.371,0.379
Mag1c (tile-wise),35.0,SELECT-HIGHEST-VARIANCE,0.127,0.343,0.097,0.385,0.187,0.252,0.356,0.669,0.465
Mag1c-SAS,35.0,SELECT-HIGHEST-VARIANCE,0.116,0.332,0.101,0.451,0.164,0.241,0.419,0.642,0.507
MF,35.0,SELECT-HIGHEST-VARIANCE,0.0735446371033377,0.2205461987223363,0.0773881221314021,0.4564490123891203,0.088982716802716,0.1489318315400578,0.4172487433058449,0.3992919530400116,0.4080729016046835
ACE,50.0,SELECT-EVENLY-SPACED,0.108484848900101,0.2078905611134891,0.1685735864432039,0.3817834241028522,0.0531567559425224,0.093320273587134,0.3343824949896508,0.3951115735205056,0.3622192405838159
CEM,50.0,SELECT-EVENLY-SPACED,0.076,0.218,0.093,0.436,0.079,0.134,0.394,0.362,0.377
Mag1c (tile-wise),50.0,SELECT-EVENLY-SPACED,0.111,0.361,0.089,0.432,0.195,0.269,0.403,0.679,0.506
Mag1c-SAS,50.0,SELECT-EVENLY-SPACED,0.099,0.347,0.086,0.523,0.171,0.258,0.496,0.625,0.553
MF,50.0,SELECT-EVENLY-SPACED,0.1010292665806776,0.2669646264979205,0.112059370248782,0.4880389057239941,0.1092851254296927,0.1785811058818555,0.4508262969412228,0.4548914304657716,0.4528497409326424
ACE,50.0,SELECT-HIGHEST-TRANSMITTANCE,0.0934128086043619,0.1874172039124714,0.1345852064347399,0.3434554038937235,0.0515905040718134,0.0897062192306584,0.3048526464500443,0.3735396655421454,0.3357188859059431
CEM,50.0,SELECT-HIGHEST-TRANSMITTANCE,0.081,0.221,0.091,0.415,0.093,0.152,0.382,0.396,0.389
Mag1c (tile-wise),50.0,SELECT-HIGHEST-TRANSMITTANCE,0.107,0.313,0.092,0.35,0.196,0.251,0.328,0.661,0.439
Mag1c-SAS,50.0,SELECT-HIGHEST-TRANSMITTANCE,0.095,0.303,0.082,0.413,0.181,0.252,0.392,0.625,0.482
MF,50.0,SELECT-HIGHEST-TRANSMITTANCE,0.0816607123649218,0.2255484199893035,0.084828479420052,0.4372692467267828,0.1056711629158438,0.1702092862801216,0.4051779084666688,0.4266055997952138,0.4156157532538436
ACE,50.0,SELECT-HIGHEST-VARIANCE,0.1054746341514588,0.1993526148494657,0.174114119459322,0.3707282743987942,0.054459104367992,0.0949676815252947,0.320024969609357,0.399525848632508,0.35538350961556
CEM,50.0,SELECT-HIGHEST-VARIANCE,0.072,0.209,0.098,0.407,0.093,0.151,0.361,0.404,0.382
Mag1c (tile-wise),50.0,SELECT-HIGHEST-VARIANCE,0.145,0.385,0.114,0.435,0.198,0.272,0.404,0.689,0.509
Mag1c-SAS,50.0,SELECT-HIGHEST-VARIANCE,0.132,0.37,0.113,0.509,0.168,0.252,0.474,0.632,0.542
MF,50.0,SELECT-HIGHEST-VARIANCE,0.0931119188814243,0.2493127416543051,0.1071741250286247,0.4539701379661676,0.1173057141073556,0.1864363460287915,0.4110129119164175,0.4663281966406477,0.4369267737271146
ACE,72.0,SELECT-EVENLY-SPACED,0.1183528864191367,0.2130647471785418,0.205439329891952,0.3156100814562337,0.1369858329819122,0.1910494926117144,0.263869632355357,0.648080305989058,0.3750396921755048
CEM,72.0,SELECT-EVENLY-SPACED,0.086,0.228,0.119,0.399,0.114,0.178,0.352,0.444,0.393
