Method,Channels,Min,Max,Mean,Median
Morphological_Baseline,25,0.117279052734375,0.117279052734375,0.117279052734375,0.117279052734375
Original,35,9.422125339508057,9.422125339508057,9.422125339508057,9.422125339508057
Tile-wise,35,4.848411321640015,4.848411321640015,4.848411321640015,4.848411321640015
Tile-wise and Sampled,35,0.0942845344543457,0.0942845344543457,0.0942845344543457,0.0942845344543457
ACE_optimized,35,0.27156782150268555,0.27156782150268555,0.27156782150268555,0.27156782150268555
ACE_optimized_addition,35,0.26788997650146484,0.26788997650146484,0.26788997650146484,0.26788997650146484
ACE_original,35,2.011052131652832,2.011052131652832,2.011052131652832,2.011052131652832
ACE_numpy,35,0.7449941635131836,0.7449941635131836,0.7449941635131836,0.7449941635131836
ACE_numpy_addition,35,0.729651689529419,0.729651689529419,0.729651689529419,0.729651689529419
MatchedFilterOptimized,35,0.08717751502990723,0.08717751502990723,0.08717751502990723,0.08717751502990723
MatchedFilterOptimized_addition,35,0.1660916805267334,0.1660916805267334,0.1660916805267334,0.1660916805267334
MatchedFilterOriginal,35,0.24837303161621094,0.24837303161621094,0.24837303161621094,0.24837303161621094
MatchedFilterNumpy,35,0.15848135948181152,0.15848135948181152,0.15848135948181152,0.15848135948181152
MatchedFilterNumpy_addition,35,0.16588282585144043,0.16588282585144043,0.16588282585144043,0.16588282585144043
CEM_optimized,35,0.0904393196105957,0.0904393196105957,0.0904393196105957,0.0904393196105957
CEM_original,35,0.09115076065063477,0.09115076065063477,0.09115076065063477,0.09115076065063477
CEM_numpy,35,0.09027862548828125,0.09027862548828125,0.09027862548828125,0.09027862548828125
mag1c_SAS,35,0.18116450309753418,0.18116450309753418,0.18116450309753418,0.18116450309753418
mag1c_tile,35,8.524513244628906,8.524513244628906,8.524513244628906,8.524513244628906
Morphological_Baseline,35,0.11525893211364746,0.11525893211364746,0.11525893211364746,0.11525893211364746
Original,50,10.618926286697388,10.618926286697388,10.618926286697388,10.618926286697388
Tile-wise,50,5.816131830215454,5.816131830215454,5.816131830215454,5.816131830215454
Tile-wise and Sampled,50,0.0952303409576416,0.0952303409576416,0.0952303409576416,0.0952303409576416
ACE_optimized,50,0.3282191753387451,0.3282191753387451,0.3282191753387451,0.3282191753387451
ACE_optimized_addition,50,0.36627936363220215,0.36627936363220215,0.36627936363220215,0.36627936363220215
ACE_original,50,2.1946489810943604,2.1946489810943604,2.1946489810943604,2.1946489810943604
ACE_numpy,50,0.9543194770812988,0.9543194770812988,0.9543194770812988,0.9543194770812988
ACE_numpy_addition,50,0.9499247074127197,0.9499247074127197,0.9499247074127197,0.9499247074127197
MatchedFilterOptimized,50,0.12802505493164062,0.12802505493164062,0.12802505493164062,0.12802505493164062
MatchedFilterOptimized_addition,50,0.1971118450164795,0.1971118450164795,0.1971118450164795,0.1971118450164795
