METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_class_clas,FP_all_class_clas,FN_all_class_clas,TP_all_class_clas,Recall_all_class_clas,Precision_all_class_clas,F1-score_all_class_clas,Iou_all_class_clas,FPR_all_class_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_strong_class_clas,FP_strong_class_clas,FN_strong_class_clas,TP_strong_class_clas,Recall_strong_class_clas,Precision_strong_class_clas,F1-score_strong_class_clas,Iou_strong_class_clas,FPR_strong_class_clas,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg,TN_weak_class_clas,FP_weak_class_clas,FN_weak_class_clas,TP_weak_class_clas,Recall_weak_class_clas,Precision_weak_class_clas,F1-score_weak_class_clas,Iou_weak_class_clas,FPR_weak_class_clas
MF,0.004,True,-,-,True,float64,200-2800,90,SELECT-HIGHEST-VARIANCE,0.10592094326888832,0.013249849,0.1920874096997219,0.25531192508956,0.008433208,0.29753605787103116,0.13741169116066324,0.013954973,0.23721287921115686,79003610,432850,109638,80771,0.4241973856277802,0.15725797815899273,0.2294532903427411,0.12959459871417822,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6161524,50721,94983,57202,0.37587147222130957,0.5300260370819937,0.43983268488474014,0.28191379259361476,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29290180,152802,14655,23569,0.6166021347844286,0.13363308026829807,0.21966029031431297,0.12338111042475894,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,90,SELECT-HIGHEST-VARIANCE,0.12183708648792083,0.12672946,0.18522661344101596,0.21132576695510477,0.070247024,0.24988702705246854,0.21976005327593487,0.14547442,0.2919069696909544,79259870,176590,137494,52915,0.2779017798528431,0.2305614256770005,0.2520277961677867,0.14418295417698687,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6202173,10072,117342,34843,0.22895160495449618,0.7757542023822777,0.3535565702688991,0.21473957980241223,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29381340,61642,20152,18072,0.472791963164504,0.22671049000175628,0.30646610931167223,0.18096248973624657,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,35,SELECT-HIGHEST-VARIANCE,0.07354463710333778,0.016195076,0.1488196076200166,0.22054619872233638,0.009923027,0.26357022938493896,0.0773881221314021,0.017658008,0.16194464521874902,78546643,889817,103497,86912,0.4564490123891203,0.08898271680271601,0.14893183154005785,0.08045723765212094,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6116715,95530,88686,63499,0.4172487433058449,0.3992919530400116,0.40807290160468357,0.25633893789233597,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29119668,323314,14811,23413,0.6125209292591042,0.0675257479227173,0.12164145566578605,0.06475944437375877,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,35,SELECT-HIGHEST-VARIANCE,0.0865448535880595,0.30045605,0.14147221830924625,0.1820080880652481,0.17559151,0.220458417176406,0.13043791074996516,0.32315722,0.1945693021468255,76216338,3220122,110683,79726,0.41870919967018366,0.02416050678697928,0.045684887960972496,0.023376418510783217,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,5999154,213091,95441,56744,0.3728619771988041,0.21029147441955268,0.26891616511065825,0.1553455469288976,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,28271459,1171523,15242,22982,0.6012452909167015,0.01923976877451329,0.037286378433540546,0.018997360605151326,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,25,SELECT-HIGHEST-VARIANCE,0.05251976348324335,0.018572118,0.11740912971135269,0.17621575352140878,0.011244473,0.2218971763930999,0.04844685503259209,0.019726314,0.117370773415377,78209141,1227319,104926,85483,0.44894411503657916,0.06511492212839408,0.11373386703529977,0.060295769005055976,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6069441,142804,88332,63853,0.41957485954594737,0.3089805813497728,0.3558836479564822,0.21645891880714196,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29013913,429069,16594,21630,0.5658748430305567,0.047992118908628596,0.0884801901321885,0.046287875059117085,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,25,SELECT-HIGHEST-VARIANCE,0.06254183706466268,0.3927444,0.11251920691659811,0.15638771805912402,0.23650268,0.19524208490603334,0.07943232649237181,0.4088396,0.13732479663283778,72392083,7044377,104135,86274,0.45309833043606135,0.01209903555790348,0.02356871819108162,0.011924886237132653,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,5729104,483141,88352,63833,0.4194434405493314,0.11670207359033519,0.18259938011239216,0.10047282812288494,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,26835803,2607179,15783,22441,0.5870918794474675,0.008533932659471711,0.016823322503114874,0.008483017521337958,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,50,SELECT-EVENLY-SPACED,0.10102926658067767,0.015285549,0.1835323025523164,0.2669646264979205,0.0094229095,0.30586855526662854,0.11205937024878201,0.016462043,0.205945860870484,78679070,757390,97482,92927,0.48803890572399417,0.1092851254296927,0.17858110588185558,0.09804504963605153,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6130029,82216,83576,68609,0.45082629694122284,0.4548914304657716,0.45284974093264246,0.2926992632283992,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29175194,267788,13906,24318,0.6361971536207618,0.08325060080929525,0.14723458359821995,0.07946747186384848,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,50,SELECT-EVENLY-SPACED,0.10848484890010109,0.22240686,0.16791433565871927,0.20789056111348916,0.124794394,0.24504285247108137,0.16857358644320397,0.242807,0.23548351278195442,78141596,1294864,117714,72695,0.38178342410285226,0.05315675594252241,0.09332027358713402,0.048943864191970096,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6134339,77906,101297,50888,0.3343824949896508,0.39511157352050563,0.36221924058381594,0.22116466963071132,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,28971229,471753,16417,21807,0.570505441607367,0.044183078045222465,0.08201450212868383,0.04276075195548035,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.10583049232482687,0.013226587,0.18803376863043658,0.26479921352629304,0.008297006,0.3028833064717599,0.13056301936884612,0.01484153,0.22446248545365544,78953850,482610,106464,83945,0.44086676575161887,0.14816743299414883,0.2217939030125607,0.12472901953733848,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6158112,54133,91842,60343,0.39651082563984624,0.5271235892239421,0.45258211736999415,0.29247569286247443,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29274594,168388,14622,23602,0.617465466722478,0.12293348611906871,0.20504400253677013,0.11423344239443982,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.11835288641913672,0.16402908,0.18005263487958098,0.21306474717854182,0.085534275,0.24957859245459402,0.20543932989195204,0.17749393,0.2760842993771396,79057860,378600,130314,60095,0.3156100814562337,0.13698583298191228,0.19104949261171447,0.10561344372408872,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6190439,21806,112028,40157,0.263869632355357,0.648080305989058,0.3750396921755048,0.23079929421636752,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29307762,135220,18286,19938,0.5216094600251151,0.12850126967349412,0.20620326607440198,0.11495352966951869,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
