METHOD,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,AUPRC_strong,AUPRC_weak,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg
ACE,50.000,SELECT-EVENLY-SPACED,0.055,0.127,0.120,0.306,0.043,0.075,0.258,0.302,0.278
CEM,50.000,SELECT-EVENLY-SPACED,0.076,0.218,0.093,0.436,0.079,0.134,0.394,0.362,0.377
Mag1c (tile-wise),50.000,SELECT-EVENLY-SPACED,0.111,0.361,0.089,0.432,0.195,0.269,0.403,0.679,0.506
"Mag1c-SAS (tile-wise)",50.000,SELECT-EVENLY-SPACED,0.099,0.347,0.086,0.523,0.171,0.258,0.496,0.625,0.553
MF,50.000,SELECT-EVENLY-SPACED,0.076,0.216,0.095,0.436,0.079,0.134,0.395,0.359,0.376
ACE,50.000,SELECT-HIGHEST-TRANSMITTANCE,0.068,0.151,0.116,0.306,0.047,0.081,0.266,0.325,0.292
CEM,50.000,SELECT-HIGHEST-TRANSMITTANCE,0.081,0.221,0.091,0.415,0.093,0.152,0.382,0.396,0.389
Mag1c (tile-wise),50.000,SELECT-HIGHEST-TRANSMITTANCE,0.107,0.313,0.092,0.350,0.196,0.251,0.328,0.661,0.439
"Mag1c-SAS (tile-wise)",50.000,SELECT-HIGHEST-TRANSMITTANCE,0.095,0.303,0.082,0.413,0.181,0.252,0.392,0.625,0.482
MF,50.000,SELECT-HIGHEST-TRANSMITTANCE,0.081,0.218,0.092,0.414,0.091,0.149,0.381,0.390,0.385
ACE,50.000,SELECT-HIGHEST-VARIANCE,0.054,0.124,0.125,0.305,0.045,0.079,0.254,0.315,0.281
CEM,50.000,SELECT-HIGHEST-VARIANCE,0.072,0.209,0.098,0.407,0.093,0.151,0.361,0.404,0.382
Mag1c (tile-wise),50.000,SELECT-HIGHEST-VARIANCE,0.145,0.385,0.114,0.435,0.198,0.272,0.404,0.689,0.509
"Mag1c-SAS (tile-wise)",50.000,SELECT-HIGHEST-VARIANCE,0.132,0.370,0.113,0.509,0.168,0.252,0.474,0.632,0.542
MF,50.000,SELECT-HIGHEST-VARIANCE,0.075,0.210,0.101,0.411,0.092,0.150,0.365,0.405,0.384
ACE,72.000,SELECT-EVENLY-SPACED,0.070,0.144,0.155,0.254,0.111,0.154,0.204,0.536,0.296
CEM,72.000,SELECT-EVENLY-SPACED,0.086,0.228,0.119,0.399,0.114,0.178,0.352,0.444,0.393
Mag1c (tile-wise),72.000,SELECT-EVENLY-SPACED,0.125,0.383,0.110,0.437,0.228,0.300,0.404,0.722,0.518
"Mag1c-SAS (tile-wise)",72.000,SELECT-EVENLY-SPACED,0.112,0.359,0.100,0.528,0.194,0.284,0.495,0.653,0.563
MF,72.000,SELECT-EVENLY-SPACED,0.086,0.227,0.121,0.398,0.115,0.178,0.350,0.443,0.391
ACE,72.000,SELECT-HIGHEST-TRANSMITTANCE,0.065,0.140,0.145,0.250,0.110,0.152,0.202,0.538,0.294
CEM,72.000,SELECT-HIGHEST-TRANSMITTANCE,0.080,0.218,0.111,0.400,0.109,0.172,0.353,0.434,0.389
Mag1c (tile-wise),72.000,SELECT-HIGHEST-TRANSMITTANCE,0.128,0.372,0.111,0.430,0.218,0.289,0.398,0.682,0.503
"Mag1c-SAS (tile-wise)",72.000,SELECT-HIGHEST-TRANSMITTANCE,0.111,0.348,0.099,0.510,0.186,0.273,0.478,0.635,0.545
MF,72.000,SELECT-HIGHEST-TRANSMITTANCE,0.080,0.217,0.112,0.402,0.107,0.169,0.356,0.428,0.389
ACE,72.000,SELECT-HIGHEST-VARIANCE,0.069,0.141,0.155,0.252,0.112,0.155,0.203,0.545,0.296
CEM,72.000,SELECT-HIGHEST-VARIANCE,0.081,0.219,0.114,0.398,0.112,0.174,0.350,0.443,0.391
Mag1c (tile-wise),72.000,SELECT-HIGHEST-VARIANCE,0.152,0.396,0.124,0.445,0.205,0.280,0.411,0.703,0.518
"Mag1c-SAS (tile-wise)",72.000,SELECT-HIGHEST-VARIANCE,0.131,0.373,0.116,0.530,0.168,0.255,0.495,0.623,0.551
MF,72.000,SELECT-HIGHEST-VARIANCE,0.082,0.219,0.116,0.399,0.111,0.173,0.351,0.443,0.392
