METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
MF,0.004,True,-,-,True,float64,200-2600,72,SELECT-HIGHEST-VARIANCE,0.0820460981824214,0.0130351474508643,0.1656924104756295,0.2194108877575188,0.0082699572667479,0.2733295000634381,0.1161654861702152,0.0144134229049086,0.2162821366794619,78827122,610904,114434,75975,0.3990095006013371,0.1106090010030878,0.1732042385168838,0.0948131379373603,0,175,0,167,1.0,6145058,67347,98710,53475,0.3513815422019253,0.4425932363311317,0.3917481969326793,0.2435863564309531,29208670,234627,15724,22500,0.5886354123064044,0.0875053961660969,0.1523610890093482,0.0824625894719095
ACE,0.03,True,-,-,True,float64,200-2600,72,SELECT-HIGHEST-VARIANCE,0.0689098402277119,0.1499058157205581,0.1223258304941518,0.1412979339182982,0.081476867198944,0.1828505223421167,0.1547456466595623,0.1741057187318802,0.2239337380599483,79056344,381682,142365,48044,0.2523200058820749,0.1118014734970655,0.1549469067219234,0.0839796465946851,0,175,0,167,1.0,6186547,25858,121267,30918,0.2031606268686138,0.5445610821473862,0.2959212484626318,0.1736546789258774,29306009,137288,21098,17126,0.4480431142737547,0.1109096325462717,0.1778050021283443,0.0975773736268745
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,72,SELECT-HIGHEST-VARIANCE,0.1523077747699542,1154.2095947265625,0.2495328788873768,0.3955227707223372,726.8098754882812,0.4222061445324642,0.124288646451522,1238.1669921875,0.2304919318742728,79109174,328852,105752,84657,0.4446060847964119,0.2047283130475999,0.2803592540709169,0.16303361893152,0,175,0,167,1.0,6185997,26408,89707,62478,0.4105398035286,0.7029003442611885,0.5183369214878604,0.3498345399875695,29327683,115614,16045,22179,0.580237547090833,0.1609588295486708,0.2520097490583295,0.1441711410704767
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,72,SELECT-HIGHEST-VARIANCE,0.1312433716558114,1214.1844482421875,0.2372259206068705,0.3733852587666111,772.7919311523438,0.4115551520159198,0.1158189953154967,1253.755615234375,0.2271942201913856,78938278,499748,89584,100825,0.5295180374877237,0.1678813399869791,0.2549362690933549,0.1460899476495927,0,175,0,167,1.0,6166896,45509,76925,75260,0.4945296842658606,0.623173165299042,0.5514482293719821,0.380689348184568,29260763,182534,12659,25565,0.6688206362494767,0.1228501818845837,0.207572983440442,0.1158055427209886
CEM,0.004,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-VARIANCE,0.072401376047199,0.0141431298106908,0.15320506810775,0.2090288765829249,0.0087830098345875,0.2640819387014891,0.0976402129812353,0.0154477879405021,0.1950901525160625,78683574,754452,112992,77417,0.4065826720375612,0.093063931941207,0.1514597790424913,0.0819348031086053,0,175,0,167,1.0,6131493,80912,97230,54955,0.3611065479515064,0.4044764365151214,0.3815630511157707,0.2357602199942513,29161371,281926,15762,22462,0.5876412724989535,0.0737939734812147,0.1311220856245548,0.0701608620958925
MF,0.004,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-VARIANCE,0.0746337957616669,0.0136295622214674,0.1549932572044348,0.210067364551671,0.008570248261094,0.2654203991014281,0.101237795575597,0.0154780931770801,0.1980419740540029,78665055,772971,112232,78177,0.4105740800067223,0.0918488911446658,0.1501156441750187,0.0811486640785567,0,175,0,167,1.0,6130625,81780,96632,55553,0.3650359759503236,0.4045131177502858,0.383761976802824,0.2374414976599064,29151505,291792,15600,22624,0.5918794474675596,0.0719556256679049,0.1283121597096188,0.0685542519150586
ACE,0.03,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-VARIANCE,0.054047740054687,0.2076822370290756,0.103101663621222,0.1240250690885716,0.1088047921657562,0.1691738484564278,0.1248357269181362,0.2381974905729293,0.1914355809565515,78212890,1225136,132414,57995,0.3045811910151306,0.0451980351187836,0.0787152028448498,0.0409700857266989,0,175,0,167,1.0,6128563,83842,113578,38607,0.25368466011762,0.315290447451592,0.2811523700634298,0.1635702695030653,29003632,439665,18836,19388,0.5072205943909586,0.0422347746338658,0.0779766608952354,0.0405700905440384
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-HIGHEST-VARIANCE,0.1453894900970307,1194.2279052734375,0.2398574995266236,0.3847707449611597,756.202392578125,0.4120486970083085,0.1139479702494656,1245.1558837890625,0.2175774123435283,79101737,336289,107590,82819,0.4349531797341512,0.1976077765158384,0.2717528797392033,0.1572419109242867,0,175,0,167,1.0,6184689,27716,90752,61433,0.4036731609554161,0.6891047572042311,0.5091118532821732,0.3414822596872724,29325107,118190,16838,21386,0.5594914190037673,0.1532211841577348,0.240562429696288,0.1367268914547291
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-HIGHEST-VARIANCE,0.1318195083962476,1243.1575927734375,0.2328503155447927,0.3704718544169262,783.9722290039062,0.4060290179197448,0.1132191350634522,1328.2652587890625,0.220746128296098,78957823,480203,93586,96823,0.5085001234185359,0.1677965984201751,0.2523288617277033,0.1443800588119508,0,175,0,167,1.0,6170501,41904,80077,72108,0.4738180503991852,0.6324597410798863,0.5417641821658395,0.3715202819325155,29265842,177455,13509,24715,0.6465832984512349,0.1222486026611267,0.205620772565039,0.1145915921346074
CEM,0.004,True,-,-,True,float64,200-2600,72,SELECT-HIGHEST-TRANSMITTANCE,0.08046931466102109,0.012943219393491745,0.1631725373752127,0.21761740262537738,0.00841544196009636,0.2719393955636318,0.11068205586411003,0.014912710525095463,0.20877068132431045,78818397,619629,114315,76094,0.3996344710596663,0.10937398936070822,0.17174416452627825,0.09393880287097642,0,175,0,167,1.0,6142281,70124,98433,53752,0.35320169530505635,0.43391778875649845,0.3894211786525442,0.24178958116855367,29214594,228703,15882,22342,0.5845018836333193,0.08899599673365333,0.15447213493322823,0.0837007871065872
