timestamp,cpu_percent,ram_used_MB,proc_read_MB,proc_write_MB
1774366446.8402765,27.5,81.4140625,0.0,0.0
1774366446.957337,27.5,83.875,0.0,0.0
1774366447.074322,72.5,86.58203125,0.0,0.0
1774366447.191166,27.5,88.3203125,0.0,0.0
1774366447.3081102,27.5,89.296875,0.0,0.0
1774366447.4252224,25.0,90.28125,0.0,0.0
1774366447.5419676,25.0,92.00390625,0.0,0.0
1774366447.6584241,25.6,94.95703125,0.9375,0.0
1774366447.7754924,15.0,95.91015625,3.77734375,0.0
1774366447.8924677,24.4,97.73046875,1.3828125,0.0
1774366448.008956,28.2,98.46875,0.0,0.0
1774366448.1258776,25.6,98.94921875,0.0,0.0
1774366448.2426162,25.6,99.81640625,0.59375,0.0
1774366448.3596277,29.3,102.875,0.4921875,0.0078125
1774366448.4766982,27.5,106.9375,0.08984375,0.0
1774366448.5941699,52.5,111.91796875,3.33984375,0.0
1774366448.7113538,26.8,114.33984375,0.0,0.0
1774366448.8278399,27.5,114.5859375,0.0,0.0
1774366448.9456096,27.5,117.05078125,0.0,0.0
1774366449.0653458,26.8,140.15234375,0.0,0.0
1774366449.184427,27.5,158.78125,0.0,0.0
1774366449.3032904,28.2,177.42578125,0.0,0.0
1774366449.4219463,26.8,196.59375,0.0,0.0
1774366449.5401008,31.0,215.23828125,0.0,0.0
1774366449.658551,25.6,233.390625,0.0,0.0
1774366449.7786083,25.0,252.52734375,0.0,0.0
1774366449.8979442,25.0,272.92578125,0.0,0.0
1774366450.0168135,29.3,293.32421875,0.0,0.0
1774366450.1356952,27.5,311.72265625,0.0,0.0
1774366450.2535882,27.5,330.61328125,0.0,0.0
1774366450.3717554,28.2,348.765625,0.0,0.0
1774366450.490686,25.6,369.41015625,0.0,0.0
1774366450.610159,26.8,387.83984375,0.0,0.0
1774366450.729291,25.6,408.23828125,0.0,0.0
1774366450.8487544,30.0,426.63671875,0.0,0.0
1774366450.968374,25.6,518.08203125,0.0,0.0
1774366451.08813,25.6,616.328125,0.0,0.0
1774366451.2077038,28.2,714.328125,0.0,0.0
1774366451.3272183,27.5,748.2578125,0.0,0.0
1774366451.445204,25.6,801.91796875,0.0,0.0
1774366451.5631037,30.0,855.91796875,0.0,0.0
1774366451.6813817,29.3,908.1640625,0.0,0.0
1774366451.7997952,26.8,962.1640625,0.0,0.0
1774366451.9178658,23.7,1014.41015625,0.0,0.0
1774366452.0365105,29.3,1066.41015625,0.0,0.0
1774366452.1611075,27.5,461.3125,0.0,0.0
1774366452.2853355,25.0,563.06640625,0.0,0.0
1774366452.4089956,31.7,663.3125,0.0,0.0
1774366452.5331209,25.6,765.55859375,0.0,0.0
1774366452.6576767,26.8,867.55859375,0.0,0.0
1774366452.786362,27.5,897.8046875,0.0,0.0
1774366452.9052975,29.3,935.8046875,0.0,0.0
1774366453.0240183,26.8,936.296875,0.0,0.0
1774366453.142383,25.0,936.296875,0.0,0.0
1774366453.2616882,29.3,936.296875,0.0,0.0
1774366453.3804154,29.3,936.296875,0.0,0.0
1774366453.4989066,25.0,936.296875,0.0,0.0
1774366453.620736,27.5,938.296875,0.0,0.0
1774366453.7392433,30.0,991.98828125,0.0,0.0
