id,action_name,marker,timestamp
EMIT_L1B_RAD_001_20240214T105745_2404507_024,stitch_tiles,START,1774368519.3229501
EMIT_L1B_RAD_001_20240214T105745_2404507_024,stitch_tiles,END,1774368519.336535
EMIT_L1B_RAD_001_20240214T105745_2404507_024,create_out_dir,START,1774368519.3365576
EMIT_L1B_RAD_001_20240214T105745_2404507_024,create_out_dir,END,1774368519.3372204
EMIT_L1B_RAD_001_20240214T105745_2404507_024,save_inference,START,1774368519.337224
EMIT_L1B_RAD_001_20240214T105745_2404507_024,save_inference,END,1774368519.3799899
EMIT_L1B_RAD_001_20240604T214705_2415614_021,load_scene,START,1774368519.380011
EMIT_L1B_RAD_001_20240604T214705_2415614_021,load_scene,END,1774368525.135137
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_prep,START,1774368525.1355412
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_prep,END,1774368526.0231452
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_compute,START,1774368526.023156
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_compute,END,1774368529.7424908
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_post,START,1774368529.7425063
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_post,END,1774368529.7576175
EMIT_L1B_RAD_001_20240604T214705_2415614_021,normalize,START,1774368529.75764
EMIT_L1B_RAD_001_20240604T214705_2415614_021,normalize,END,1774368529.8384137
EMIT_L1B_RAD_001_20240604T214705_2415614_021,tile_image,START,1774368529.8384273
EMIT_L1B_RAD_001_20240604T214705_2415614_021,tile_image,END,1774368529.879414
EMIT_L1B_RAD_001_20240604T214705_2415614_021,inference_tiles,START,1774368529.879421
EMIT_L1B_RAD_001_20240604T214705_2415614_021,inference_tiles,END,1774368533.6798618
EMIT_L1B_RAD_001_20240604T214705_2415614_021,post_tiles,START,1774368533.679871
EMIT_L1B_RAD_001_20240604T214705_2415614_021,post_tiles,END,1774368533.8304138
EMIT_L1B_RAD_001_20240604T214705_2415614_021,stitch_tiles,START,1774368533.8304248
EMIT_L1B_RAD_001_20240604T214705_2415614_021,stitch_tiles,END,1774368533.8444154
EMIT_L1B_RAD_001_20240604T214705_2415614_021,create_out_dir,START,1774368533.8444307
EMIT_L1B_RAD_001_20240604T214705_2415614_021,create_out_dir,END,1774368533.8451018
EMIT_L1B_RAD_001_20240604T214705_2415614_021,save_inference,START,1774368533.8451054
EMIT_L1B_RAD_001_20240604T214705_2415614_021,save_inference,END,1774368533.8866577
EMIT_L1B_RAD_001_20240120T154941_2402010_018,load_scene,START,1774368533.886683
EMIT_L1B_RAD_001_20240120T154941_2402010_018,load_scene,END,1774368539.3915625
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_prep,START,1774368539.392001
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_prep,END,1774368540.7403462
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_compute,START,1774368540.740355
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_compute,END,1774368549.6024396
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_post,START,1774368549.6024551
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_post,END,1774368549.6240044
EMIT_L1B_RAD_001_20240120T154941_2402010_018,normalize,START,1774368549.6240172
EMIT_L1B_RAD_001_20240120T154941_2402010_018,normalize,END,1774368549.70142
EMIT_L1B_RAD_001_20240120T154941_2402010_018,tile_image,START,1774368549.7014315
EMIT_L1B_RAD_001_20240120T154941_2402010_018,tile_image,END,1774368549.7431695
EMIT_L1B_RAD_001_20240120T154941_2402010_018,inference_tiles,START,1774368549.7431772
EMIT_L1B_RAD_001_20240120T154941_2402010_018,inference_tiles,END,1774368553.4731553
EMIT_L1B_RAD_001_20240120T154941_2402010_018,post_tiles,START,1774368553.473166
EMIT_L1B_RAD_001_20240120T154941_2402010_018,post_tiles,END,1774368553.6145995
EMIT_L1B_RAD_001_20240120T154941_2402010_018,stitch_tiles,START,1774368553.6146095
EMIT_L1B_RAD_001_20240120T154941_2402010_018,stitch_tiles,END,1774368553.6299
EMIT_L1B_RAD_001_20240120T154941_2402010_018,create_out_dir,START,1774368553.6299324
EMIT_L1B_RAD_001_20240120T154941_2402010_018,create_out_dir,END,1774368553.6306016
EMIT_L1B_RAD_001_20240120T154941_2402010_018,save_inference,START,1774368553.630605
EMIT_L1B_RAD_001_20240120T154941_2402010_018,save_inference,END,1774368553.6729429
EMIT_L1B_RAD_001_20231004T174744_2327712_017,load_scene,START,1774368553.6729677
EMIT_L1B_RAD_001_20231004T174744_2327712_017,load_scene,END,1774368559.5921657
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_prep,START,1774368559.5924106
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_prep,END,1774368560.943995
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_compute,START,1774368560.9440048
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_compute,END,1774368568.8491304
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_post,START,1774368568.849141
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_post,END,1774368568.8712773
