timestamp,cpu_percent,ram_used_MB,proc_read_MB,proc_write_MB
1774368460.2486937,27.5,80.71484375,0.0,0.0
1774368460.3655517,26.8,83.421875,0.01953125,0.0
1774368460.4820964,70.7,85.8828125,0.0,0.0
1774368460.5984235,27.5,87.60546875,0.0,0.0
1774368460.7149737,27.5,88.34375,0.0,0.0
1774368460.8311462,26.8,89.57421875,0.0,0.0
1774368460.947529,27.5,91.296875,0.0,0.0
1774368461.064049,26.8,94.20703125,0.09765625,0.0
1774368461.1811152,14.6,95.1171875,4.03515625,0.0
1774368461.297675,17.9,96.7734375,1.890625,0.0
1774368461.4142458,23.1,97.765625,0.3046875,0.0
1774368461.531049,27.5,98.26171875,0.18359375,0.0
1774368461.6475034,24.4,98.70703125,0.4375,0.0
1774368461.7638311,24.4,99.5546875,0.98828125,0.0
1774368461.8806112,25.6,104.359375,0.0,0.0
1774368462.0068426,35.0,107.67578125,3.51171875,0.0
1774368462.1238213,32.5,113.28125,0.0,0.0
1774368462.2408898,25.6,113.28125,0.0,0.0
1774368462.3585443,25.0,113.76953125,0.00390625,0.0
1774368462.4763312,24.4,122.20703125,3.98828125,0.0
1774368462.5936086,19.5,134.20703125,8.2109375,0.0
1774368462.7115848,17.5,142.8203125,9.63671875,0.0
1774368462.829121,15.0,152.328125,8.5859375,0.0
1774368462.946783,17.5,161.89453125,9.63671875,0.0
1774368463.0646505,19.5,170.92578125,8.7734375,0.0
1774368463.1823246,15.0,179.5078125,9.57421875,0.0
1774368463.299992,17.5,188.82421875,8.7734375,0.0
1774368463.4178646,13.2,197.84375,9.69921875,0.0
1774368463.535734,15.4,207.41796875,8.6484375,0.0
1774368463.653446,12.8,216.546875,9.69921875,0.0
1774368463.771008,17.5,225.75,8.5234375,0.0
1774368463.888957,17.5,235.015625,9.69921875,0.0
1774368464.0063596,14.6,243.75390625,8.6484375,0.0
1774368464.1241515,19.0,253.796875,9.57421875,0.0
1774368464.2416227,15.4,262.5859375,8.7734375,0.0
1774368464.3596106,19.0,272.1796875,9.44921875,0.0
1774368464.4768107,15.0,280.6796875,8.7734375,0.0
1774368464.5946796,19.5,290.3984375,9.69921875,0.0
1774368464.7120922,19.0,298.8515625,8.7734375,0.0
1774368464.8297083,19.5,308.62890625,9.69921875,0.0
1774368464.9467437,13.2,317.1484375,8.7734375,0.0
1774368465.0646088,17.1,327.41015625,9.82421875,0.0
1774368465.1817334,12.8,335.9609375,8.3984375,0.0
1774368465.2992394,19.5,346.31640625,9.57421875,0.0
1774368465.4167514,19.5,354.05859375,8.7734375,0.0
1774368465.5342865,17.1,364.28515625,9.69921875,0.0
1774368465.6517317,20.0,372.15234375,8.7734375,0.0
1774368465.7697132,13.2,383.16015625,9.57421875,0.0
1774368465.8880854,15.0,390.74609375,8.8984375,0.0
1774368466.0056798,15.0,401.3671875,9.69921875,0.0
1774368466.1233861,20.0,409.19140625,8.8984375,0.0
1774368466.2412777,17.5,420.0078125,9.82421875,0.0
1774368466.360244,17.5,443.640625,6.1640625,0.0
1774368466.4793363,28.2,539.640625,0.0,0.0
1774368466.599173,27.5,639.88671875,0.0,0.0
1774368466.7167137,25.0,731.1015625,1.484375,0.0
1774368466.8344376,15.4,741.56640625,9.57421875,0.0
1774368466.9539523,22.5,756.05078125,7.1640625,0.0
1774368467.0722551,27.5,815.7734375,0.0,0.0
1774368467.1898727,26.8,867.67578125,0.0,0.0
1774368467.307549,31.0,919.67578125,0.0,0.0
1774368467.4255474,25.6,971.921875,0.0,0.0
1774368467.5433664,25.6,1023.921875,0.0,0.0
1774368467.6612043,29.3,1077.3984375,0.0,0.0
1774368467.7801113,27.5,457.0859375,0.0,0.0
1774368467.8988912,26.8,495.0859375,0.0,0.0
1774368468.0182104,27.5,521.0859375,0.0,0.0
1774368468.1378217,30.0,521.0859375,0.0,0.0
1774368468.2567408,29.3,482.5625,0.0,0.0
1774368468.3752663,26.8,522.5625,0.0,0.0
1774368468.493936,28.2,560.5625,0.0,0.0
1774368468.612615,26.3,598.80859375,0.0,0.0
1774368468.7311206,23.1,638.80859375,0.0,0.0
1774368468.8495853,27.5,676.80859375,0.0,0.0
1774368468.968255,27.5,717.0546875,0.0,0.0
1774368469.0876877,25.0,755.0546875,0.0,0.0
1774368469.2045894,25.0,761.0546875,0.0,0.0
1774368469.3447483,34.8,760.9296875,0.125,0.0
1774368469.4751828,100.0,776.34375,0.0,0.0
1774368469.6013923,100.0,776.34375,0.0,0.0
1774368469.7304542,100.0,776.58984375,0.0,0.0
1774368469.860796,100.0,776.58984375,0.0,0.0
1774368469.9859674,100.0,776.58984375,0.0,0.0
1774368470.1150672,100.0,776.58984375,0.0,0.0
1774368470.244443,100.0,776.58984375,0.0,0.0
1774368470.3736699,100.0,776.58984375,0.0,0.0
1774368470.5036511,100.0,776.58984375,0.0,0.0
1774368470.6329916,100.0,776.58984375,0.0,0.0
1774368470.7621708,100.0,776.58984375,0.0,0.0
1774368470.8911948,100.0,776.58984375,0.0,0.0
1774368471.0207155,100.0,776.58984375,0.0,0.0
1774368471.137457,100.0,776.58984375,0.0,0.0
1774368471.2666237,100.0,776.58984375,0.0,0.0
1774368471.3958447,100.0,776.58984375,0.0,0.0
1774368471.5249064,100.0,779.08203125,0.0,0.0
1774368471.6416838,43.9,801.08203125,0.0,0.0
1774368471.759111,29.3,823.08203125,0.0,0.0
1774368471.87718,28.6,847.328125,0.0,0.0
1774368471.9944398,29.3,871.328125,0.0,0.0
1774368472.1118047,25.6,895.328125,0.0,0.0
1774368472.229211,27.5,919.328125,0.0,0.0
1774368472.3465552,26.8,943.328125,0.0,0.0
1774368472.4637527,31.0,967.57421875,0.0,0.0
1774368472.5817864,31.7,990.375,0.0,0.0
1774368472.6990695,25.0,1014.375,0.0,0.0
1774368472.8164184,31.0,1038.375,0.0,0.0
1774368472.9338055,27.5,1062.375,0.0,0.0
1774368473.0516014,25.6,1086.62109375,0.0,0.0
1774368473.1689112,25.0,1110.62109375,0.0,0.0
1774368473.2860894,25.6,1134.62109375,0.0,0.0
1774368473.4035873,27.5,1158.62109375,0.0,0.0
1774368473.5207918,25.6,1182.62109375,0.0,0.0
1774368473.6380088,26.3,1206.62109375,0.0,0.0
1774368473.7556567,25.0,1230.8671875,0.0,0.0
1774368473.8735003,25.0,1244.71875,0.0,0.0
1774368473.9913552,31.0,1265.78125,0.0,0.0
1774368474.1094105,25.6,1287.31640625,0.0,0.0
1774368474.2275193,25.0,1308.19921875,0.0,0.0
1774368474.3455749,25.6,1326.671875,0.0,0.0
1774368474.4639454,28.2,1344.625,0.0,0.0
1774368474.5827715,27.5,1365.65234375,0.0,0.0
1774368474.7267194,51.2,1378.52734375,0.0,0.0
1774368474.861915,100.0,1379.01953125,0.0,0.0
1774368474.981789,78.0,774.640625,0.0,0.0
1774368475.102114,23.1,878.8984375,0.0,0.0
1774368475.2214534,29.3,983.14453125,0.0,0.0
1774368475.3410442,27.5,1087.390625,0.0,0.0
1774368475.4608612,27.5,1191.63671875,0.0,0.0
1774368475.583542,27.5,1275.93359375,0.0,0.0
1774368475.706752,28.2,1336.13671875,0.0,0.0
1774368475.930253,51.2,1378.91796875,0.0,0.0
1774368476.1193461,100.0,1379.1640625,0.0,0.0
1774368476.3019505,100.0,1379.4296875,0.0,0.0
1774368476.480577,100.0,1379.4296875,0.0,0.0
1774368476.5983093,69.2,822.046875,0.0,0.0
1774368476.7179205,30.0,817.2734375,0.0,0.0
1774368476.8370264,29.3,841.703125,0.0,0.0
1774368476.956035,25.6,841.703125,0.0,0.0
1774368477.0747385,25.6,841.703125,0.0,0.0
1774368477.1947768,33.3,837.765625,0.0,0.0
1774368477.3270028,54.8,868.5625,0.0,0.0
1774368477.4435413,100.0,876.19140625,0.0,0.0
1774368477.5729191,100.0,888.25,0.0,0.0
1774368477.707901,76.9,923.6875,0.0,0.0
1774368477.8300338,100.0,941.16015625,0.0,0.0
1774368477.9597902,100.0,941.16015625,0.0,0.0
1774368478.07813,79.5,958.6328125,0.0,0.0
1774368478.2079203,85.0,959.8671875,0.0,0.0
1774368478.3385487,100.0,960.11328125,0.0,0.0
1774368478.469064,100.0,960.11328125,0.0,0.0
1774368478.6025646,80.0,960.11328125,0.0,0.0
1774368478.7324722,100.0,960.11328125,0.0,0.0
1774368478.8632092,100.0,960.11328125,0.0,0.0
1774368479.004608,72.5,960.359375,0.0,0.0
1774368479.1338973,100.0,960.359375,0.0,0.0
1774368479.2636347,100.0,960.359375,0.0,0.0
1774368479.3929698,70.0,960.359375,0.0,0.0
1774368479.5228872,87.2,960.359375,0.0,0.0
1774368479.652676,100.0,960.359375,0.0,0.0
1774368479.7715652,87.5,960.359375,0.0,0.0
1774368479.9065418,90.0,960.359375,0.0,0.0
1774368480.037971,100.0,960.60546875,0.0,0.0
1774368480.1702323,100.0,960.60546875,0.0,0.0
1774368480.3038738,82.5,960.60546875,0.0,0.0
1774368480.433806,100.0,960.60546875,0.0,0.0
1774368480.565749,100.0,960.60546875,0.0,0.0
1774368480.7145772,79.5,960.60546875,0.0,0.0
1774368480.8446963,100.0,960.60546875,0.0,0.0
1774368480.9770505,100.0,960.60546875,0.0,0.0
1774368481.1245508,77.5,960.60546875,0.0,0.0
1774368481.2420943,36.8,965.28125,0.0,0.0
1774368481.3606582,27.5,979.0859375,0.19140625,4.765625
1774368481.4787953,21.4,984.68359375,8.05859375,1.30859375
