id,action_name,marker,timestamp
EMIT_L1B_RAD_001_20240214T105745_2404507_024,stitch_tiles,START,1774366521.5167475
EMIT_L1B_RAD_001_20240214T105745_2404507_024,stitch_tiles,END,1774366521.5308468
EMIT_L1B_RAD_001_20240214T105745_2404507_024,create_out_dir,START,1774366521.5308683
EMIT_L1B_RAD_001_20240214T105745_2404507_024,create_out_dir,END,1774366521.531599
EMIT_L1B_RAD_001_20240214T105745_2404507_024,save_inference,START,1774366521.5316024
EMIT_L1B_RAD_001_20240214T105745_2404507_024,save_inference,END,1774366521.5795152
EMIT_L1B_RAD_001_20240604T214705_2415614_021,load_scene,START,1774366521.5795426
EMIT_L1B_RAD_001_20240604T214705_2415614_021,load_scene,END,1774366526.8072712
EMIT_L1B_RAD_001_20240604T214705_2415614_021,tile_image,START,1774366526.8075914
EMIT_L1B_RAD_001_20240604T214705_2415614_021,tile_image,END,1774366527.5006557
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_prep,START,1774366527.5006642
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_prep,END,1774366529.1898906
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_compute,START,1774366529.1898963
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_compute,END,1774366535.7636838
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_post,START,1774366535.7637055
EMIT_L1B_RAD_001_20240604T214705_2415614_021,mag1c_post,END,1774366535.7826626
EMIT_L1B_RAD_001_20240604T214705_2415614_021,normalize,START,1774366535.7826748
EMIT_L1B_RAD_001_20240604T214705_2415614_021,normalize,END,1774366535.927072
EMIT_L1B_RAD_001_20240604T214705_2415614_021,inference_tiles,START,1774366535.9270902
EMIT_L1B_RAD_001_20240604T214705_2415614_021,inference_tiles,END,1774366539.6070821
EMIT_L1B_RAD_001_20240604T214705_2415614_021,post_tiles,START,1774366539.6070921
EMIT_L1B_RAD_001_20240604T214705_2415614_021,post_tiles,END,1774366539.7456315
EMIT_L1B_RAD_001_20240604T214705_2415614_021,stitch_tiles,START,1774366539.7456415
EMIT_L1B_RAD_001_20240604T214705_2415614_021,stitch_tiles,END,1774366539.7603076
EMIT_L1B_RAD_001_20240604T214705_2415614_021,create_out_dir,START,1774366539.7603214
EMIT_L1B_RAD_001_20240604T214705_2415614_021,create_out_dir,END,1774366539.7609954
EMIT_L1B_RAD_001_20240604T214705_2415614_021,save_inference,START,1774366539.760999
EMIT_L1B_RAD_001_20240604T214705_2415614_021,save_inference,END,1774366539.80997
EMIT_L1B_RAD_001_20240120T154941_2402010_018,load_scene,START,1774366539.8099954
EMIT_L1B_RAD_001_20240120T154941_2402010_018,load_scene,END,1774366545.2030199
EMIT_L1B_RAD_001_20240120T154941_2402010_018,tile_image,START,1774366545.2032568
EMIT_L1B_RAD_001_20240120T154941_2402010_018,tile_image,END,1774366545.8937523
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_prep,START,1774366545.8937602
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_prep,END,1774366548.4444528
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_compute,START,1774366548.4444573
